"Plot Title: Temp Birds Mammals fluid rm"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10571608, SEN S/N: 10571608)","RH, % (LGR S/N: 10571608, SEN S/N: 10571608)","DewPt, °F (LGR S/N: 10571608, SEN S/N: 10571608)"
1,12/14/23 03:57:42 PM,74.822,36.869,46.746
2,12/14/23 04:57:42 PM,63.909,46.740,43.173
3,12/14/23 05:57:42 PM,63.824,47.300,43.405
4,12/14/23 06:57:42 PM,63.653,48.230,43.758
5,12/14/23 07:57:42 PM,63.439,48.622,43.772
6,12/14/23 08:57:42 PM,63.225,48.324,43.416
7,12/14/23 09:57:42 PM,63.054,47.780,42.964
8,12/14/23 10:57:42 PM,62.753,46.879,42.193
9,12/14/23 11:57:42 PM,62.452,45.662,41.238
10,12/15/23 12:57:42 AM,62.582,45.387,41.200
11,12/15/23 01:57:42 AM,62.753,44.798,41.018
12,12/15/23 02:57:42 AM,62.753,44.734,40.980
13,12/15/23 03:57:42 AM,62.710,44.795,40.977
14,12/15/23 04:57:42 AM,62.625,44.473,40.712
15,12/15/23 05:57:42 AM,62.539,43.833,40.262
16,12/15/23 06:57:42 AM,62.452,43.065,39.729
17,12/15/23 07:57:42 AM,62.368,42.932,39.573
18,12/15/23 08:57:42 AM,62.238,43.115,39.565
19,12/15/23 09:57:42 AM,62.195,42.539,39.182
20,12/15/23 10:57:42 AM,62.281,42.608,39.301
21,12/15/23 11:57:42 AM,62.539,42.434,39.429
22,12/15/23 12:57:42 PM,62.839,42.453,39.711
23,12/15/23 01:57:42 PM,63.181,42.347,39.956
24,12/15/23 02:57:42 PM,63.610,41.927,40.086
25,12/15/23 03:57:42 PM,64.081,38.935,38.611
26,12/15/23 04:57:42 PM,64.508,39.380,39.285
27,12/15/23 05:57:42 PM,64.852,39.368,39.583
28,12/15/23 06:57:42 PM,65.066,39.219,39.677
29,12/15/23 07:57:42 PM,65.237,39.197,39.816
30,12/15/23 08:57:42 PM,65.322,37.776,38.946
31,12/15/23 09:57:42 PM,65.408,37.456,38.804
32,12/15/23 10:57:42 PM,65.408,37.456,38.804
33,12/15/23 11:57:42 PM,65.493,37.689,39.038
34,12/16/23 12:57:42 AM,65.408,36.382,38.061
35,12/16/23 01:57:42 AM,65.365,38.752,39.637
36,12/16/23 02:57:42 AM,65.278,37.839,38.950
37,12/16/23 03:57:42 AM,65.237,37.577,38.734
38,12/16/23 04:57:42 AM,65.194,37.086,38.361
39,12/16/23 05:57:42 AM,65.107,36.984,38.214
40,12/16/23 06:57:42 AM,65.023,37.077,38.201
41,12/16/23 07:57:42 AM,64.980,36.391,37.688
42,12/16/23 08:57:42 AM,64.893,36.419,37.632
43,12/16/23 09:57:42 AM,64.809,35.762,37.094
44,12/16/23 10:57:42 AM,64.852,35.110,36.666
45,12/16/23 11:57:42 AM,64.980,34.954,36.666
46,12/16/23 12:57:42 PM,65.237,35.164,37.044
47,12/16/23 01:57:42 PM,65.493,34.784,36.995
48,12/16/23 02:57:42 PM,66.007,37.100,39.092
49,12/16/23 03:57:42 PM,66.349,37.412,39.610
50,12/16/23 04:57:42 PM,66.564,37.261,39.699
51,12/16/23 05:57:42 PM,66.778,37.925,40.341
52,12/16/23 06:57:42 PM,66.949,38.487,40.874
53,12/16/23 07:57:42 PM,66.949,38.130,40.633
54,12/16/23 08:57:42 PM,66.949,39.071,41.263
55,12/16/23 09:57:42 PM,66.906,38.192,40.638
56,12/16/23 10:57:42 PM,66.862,38.580,40.860
57,12/16/23 11:57:42 PM,66.821,36.525,39.414
58,12/17/23 12:57:42 AM,66.735,36.161,39.081
59,12/17/23 01:57:42 AM,66.650,35.895,38.817
60,12/17/23 02:57:42 AM,66.564,35.563,38.503
61,12/17/23 03:57:42 AM,66.477,35.034,38.044
62,12/17/23 04:57:42 AM,66.393,35.422,38.251
63,12/17/23 05:57:42 AM,66.349,35.289,38.116
64,12/17/23 06:57:42 AM,66.263,35.415,38.133
65,12/17/23 07:57:42 AM,66.178,35.083,37.818
66,12/17/23 08:57:42 AM,66.092,34.225,37.112
67,12/17/23 09:57:42 AM,66.092,34.422,37.258
68,12/17/23 10:57:42 AM,66.178,33.901,36.946
69,12/17/23 11:57:42 AM,66.349,33.712,36.955
70,12/17/23 12:57:42 PM,66.607,34.121,37.486
71,12/17/23 01:57:42 PM,66.949,37.218,40.010
72,12/17/23 02:57:42 PM,67.249,37.887,40.735
73,12/17/23 03:57:42 PM,67.505,38.097,41.106
74,12/17/23 04:57:42 PM,67.678,39.082,41.920
75,12/17/23 05:57:42 PM,67.806,39.316,42.192
76,12/17/23 06:57:42 PM,67.849,39.351,42.253
77,12/17/23 07:57:42 PM,67.849,40.000,42.678
78,12/17/23 08:57:42 PM,67.892,41.746,43.831
79,12/17/23 09:57:42 PM,67.892,40.520,43.052
80,12/17/23 10:57:42 PM,67.849,38.084,41.403
81,12/17/23 11:57:42 PM,67.806,39.544,42.341
82,12/18/23 12:57:42 AM,67.806,41.677,43.711
83,12/18/23 01:57:42 AM,67.849,44.374,45.396
84,12/18/23 02:57:42 AM,67.849,41.776,43.812
85,12/18/23 03:57:42 AM,67.806,42.417,44.172
86,12/18/23 04:57:42 AM,67.719,39.409,42.175
87,12/18/23 05:57:42 AM,67.635,39.760,42.328
